Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
D,Flight,low,1233,177,44,1
F,Flight,low,3088,216,59,1
A,Flight,low,3374,183,48,1
B,Flight,medium,1177,176,10,1
C,Flight,medium,2484,184,46,1
F,Flight,medium,1417,162,12,1
D,Flight,low,2371,250,3,1
F,Flight,low,2804,233,48,1
A,Flight,low,1861,150,11,1
B,Flight,medium,1187,164,29,1
C,Flight,medium,2888,189,12,1
F,Flight,medium,3253,232,32,1
D,Flight,medium,3667,198,1,1
F,Flight,high,2602,275,29,1
A,Flight,low,1009,152,43,1
B,Flight,low,2707,227,45,1
C,Flight,medium,1194,143,6,1
F,Ship,medium,3952,227,36,1
D,Ship,high,2495,239,18,1
F,Ship,medium,1059,145,45,1
A,Ship,medium,1521,161,38,1
B,Ship,medium,2899,232,51,1
C,Ship,low,1750,156,2,1
F,Ship,high,3922,211,12,1
D,Ship,medium,3561,251,28,1
F,Ship,low,3496,225,29,1
A,Ship,high,1066,172,24,1
B,Ship,medium,1435,162,31,1
C,Ship,low,3134,234,44,1
F,Ship,low,3819,183,36,1
D,Ship,medium,2741,266,38,1
F,Ship,low,3341,257,61,1
A,Ship,low,3795,223,22,1
B,Ship,medium,3261,234,4,1
C,Ship,medium,2460,227,22,1
F,Ship,medium,1811,149,44,1
D,Ship,high,1477,137,62,1
F,Ship,medium,3605,181,16,1
A,Ship,low,3905,215,56,1
B,Ship,low,2383,269,45,1
C,Ship,low,3798,227,15,1
F,Ship,medium,1265,139,61,1
D,Ship,medium,1647,137,38,1
F,Ship,low,1556,174,44,1
A,Ship,low,1328,151,29,1
B,Ship,low,2944,210,9,1
C,Ship,medium,1245,169,32,1
F,Ship,low,1576,160,32,1
D,Ship,medium,3753,190,9,1
F,Ship,low,2146,216,40,1
A,Ship,low,2042,183,37,1
B,Ship,low,1735,141,22,1
C,Ship,low,1320,165,44,1
F,Ship,low,1128,170,41,1
D,Ship,high,3539,203,12,1
F,Ship,low,2437,246,46,1
A,Ship,low,3096,238,61,1
B,Ship,medium,3453,193,29,1
C,Ship,high,1367,141,41,1
F,Ship,high,1923,150,17,1
D,Ship,low,2794,221,64,1
F,Ship,medium,1158,179,52,1
A,Ship,medium,1292,105,62,1
B,Ship,medium,1880,177,61,1
C,Ship,high,3045,261,49,1
F,Ship,low,2881,202,49,1
D,Ship,medium,1710,109,15,1
F,Ship,low,1878,158,6,1
A,Ship,medium,2512,231,6,1
B,Ship,medium,2929,206,39,1
C,Ship,high,3849,187,14,1
F,Ship,low,2229,230,2,1
D,Ship,medium,2998,232,33,1
F,Ship,medium,3984,215,21,1
A,Ship,low,2442,238,13,1
B,Ship,low,3775,266,23,1
C,Ship,medium,1788,158,36,1
F,Ship,low,1518,113,43,1
D,Ship,low,3959,223,18,1
F,Ship,medium,3711,257,56,1
A,Ship,medium,1942,180,49,1
B,Ship,low,1759,132,18,1
C,Ship,high,2875,217,26,1
F,Ship,high,1364,162,31,1
D,Ship,medium,2710,197,40,1
F,Ship,medium,2148,197,13,1
A,Ship,low,2910,185,44,1
B,Ship,medium,2974,278,3,1
C,Ship,low,2339,229,49,1
F,Ship,medium,3880,186,57,1
D,Ship,high,1085,174,41,1
F,Ship,low,3163,286,18,1
A,Ship,medium,1188,175,7,1
B,Ship,medium,3387,219,17,1
C,Ship,high,2343,213,35,1
F,Ship,low,2034,235,57,1
D,Ship,medium,1225,149,18,1
F,Ship,medium,2401,271,8,1
A,Ship,medium,1104,144,5,1
B,Ship,medium,1617,145,21,1
C,Ship,medium,1837,143,59,1
F,Ship,low,2624,227,53,1
D,Ship,low,2732,213,29,1
F,Ship,low,1658,144,37,1
A,Ship,low,2255,218,3,1
B,Ship,medium,1588,144,59,1
C,Ship,low,2624,238,17,1
F,Ship,high,2053,216,26,1
D,Ship,high,3257,238,55,1
F,Ship,medium,1250,141,47,1
A,Road,low,1284,158,2,1
B,Road,low,3679,239,65,1
C,Road,low,1816,175,25,1
F,Road,low,2817,263,41,1
D,Road,high,1616,168,50,1
F,Road,high,1779,176,36,1
A,Road,high,1024,150,60,1
B,Road,medium,2326,265,31,1
C,Road,low,2947,263,5,1
F,Road,low,1387,145,20,1
D,Road,low,2741,183,33,1
F,Road,medium,2167,205,19,1
A,Road,low,1714,160,64,1
B,Road,medium,2102,252,48,1
C,Road,low,2280,222,10,1
F,Road,low,3607,203,25,1
D,Road,medium,3516,220,40,1
F,Road,low,1722,147,60,1
A,Road,medium,2060,200,16,1
B,Road,medium,2026,224,21,1
C,Road,low,1364,179,17,1
F,Road,low,1865,144,50,1
D,Flight,low,3889,247,17,1
F,Flight,medium,3582,280,51,1
A,Flight,medium,1829,168,1,1
B,Flight,medium,1889,157,4,1
C,Flight,medium,2208,189,51,1
F,Flight,medium,1739,162,7,1
D,Flight,low,2399,207,48,1
F,Flight,low,3860,237,10,1
A,Flight,high,2020,264,59,1
B,Flight,low,1645,149,51,1
C,Flight,low,1462,162,41,1
F,Flight,medium,2156,205,63,1
D,Flight,medium,1540,158,51,1
F,Flight,low,3707,248,46,1
A,Flight,low,3750,191,23,1
